sku,salesdate,price,unitsordered,sales,cogs,fba,reffee,adspend,profit,comp_1_price,comp_2_price,comp_3_price,comp_4_price,comp_5_price,comp_data_min_price,comp_data_max_price,managed_fba_stock_level,min_price,max_price
Envelopes SKU 4,2022-01-01,29.49,19,560.00,236.00,156.00,84.00,0.00,84.00,28.49,27.97,30.99,,,27.97,30.99,,27.99,34.99
Envelopes SKU 4,2022-01-02,29.99,13,390.00,161.00,107.00,58.00,0.00,64.00,28.49,27.97,30.99,,,27.97,30.99,,27.99,34.99
Envelopes SKU 4,2022-01-03,29.69,84,2494.00,1042.00,690.00,374.00,0.00,388.00,28.49,27.97,30.99,,,27.97,30.99,,27.99,34.99
Envelopes SKU 4,2022-01-04,29.79,78,2324.00,968.00,641.00,349.00,0.00,366.00,28.49,27.97,30.99,,,27.97,30.99,,27.99,34.99
Envelopes SKU 4,2022-01-05,29.79,83,2473.00,1030.00,682.00,371.00,0.00,390.00,28.49,27.97,30.99,,,27.97,30.99,,27.99,34.99
Envelopes SKU 4,2022-01-06,29.89,61,1823.00,757.00,501.00,273.00,0.00,292.00,28.49,27.97,30.99,,,27.97,30.99,,27.99,34.99
Envelopes SKU 4,2022-01-07,29.29,66,1933.00,819.00,543.00,290.00,0.00,281.00,28.49,27.97,30.99,,,27.97,30.99,,27.99,34.99
Envelopes SKU 4,2022-01-08,29.99,18,540.00,223.00,148.00,81.00,0.00,88.00,28.49,27.97,30.99,,,27.97,30.99,,27.99,34.99
Envelopes SKU 4,2022-01-09,29.99,20,600.00,248.00,164.00,90.00,0.00,98.00,28.49,27.97,30.99,,,27.97,30.99,,27.99,34.99
Envelopes SKU 4,2022-01-10,29.89,70,2092.00,869.00,575.00,314.00,0.00,334.00,28.49,27.97,32.64,,,27.97,32.64,,27.99,34.99
Envelopes SKU 4,2022-01-11,29.59,102,3018.00,1266.00,838.00,453.00,0.00,461.00,28.49,27.97,32.64,,,27.97,32.64,,27.99,34.99
Envelopes SKU 4,2022-01-12,29.79,91,2711.00,1129.00,748.00,407.00,0.00,427.00,28.49,27.97,32.64,,,27.97,32.64,,27.99,34.99
Envelopes SKU 4,2022-01-13,29.79,135,4022.00,1675.00,1110.00,603.00,0.00,634.00,28.49,27.97,32.64,,,27.97,32.64,,27.99,34.99
Envelopes SKU 4,2022-01-14,29.49,120,3539.00,1489.00,986.00,531.00,0.00,533.00,28.49,27.97,32.64,,,27.97,32.64,,27.99,34.99
Envelopes SKU 4,2022-01-15,29.89,35,1046.00,434.00,288.00,157.00,0.00,167.00,28.49,27.97,32.64,,,27.97,32.64,,27.99,34.99
Envelopes SKU 4,2022-01-16,29.89,31,927.00,385.00,255.00,139.00,0.00,148.00,28.49,27.97,32.64,,,27.97,32.64,,27.99,34.99
Envelopes SKU 4,2022-01-17,29.79,87,2592.00,1080.00,715.00,389.00,0.00,408.00,28.49,27.97,32.64,,,27.97,32.64,,27.99,34.99
